evo,enemy,run,generation,individual,fitness,playerHealth,enemyHealth,time
0,2,0,1,54,76.46503830360567,22,0.0,195
0,2,0,1,55,0.0,0,100.0,329
0,2,0,1,56,0.0,0,60.0,357
0,2,0,1,57,0.0,0,100.0,334
0,2,0,1,58,0.0,0,80.0,256
0,2,0,1,59,0.0,0,100.0,329
0,2,0,1,60,0.0,0,40.0,733
0,2,0,1,61,0.0,0,90.0,155
0,2,0,1,62,52.95907322360328,2,0.0,241
0,2,0,1,63,0.0,0,100.0,329
0,2,0,1,64,0.0,0,100.0,360
0,2,0,1,65,0.0,0,100.0,322
0,2,0,1,66,82.55338527615841,36,0.0,178
0,2,0,1,67,0.0,0,90.0,292
0,2,0,1,68,0.0,0,100.0,158
0,2,0,1,69,0.0,0,80.0,322
0,2,0,1,70,0.0,0,100.0,325
0,2,0,1,71,0.0,0,100.0,329
0,2,0,1,72,0.0,0,50.0,256
0,2,0,1,73,0.0,0,100.0,360
0,2,0,1,74,0.0,0,100.0,325
0,2,0,1,75,0.0,0,100.0,752
0,2,0,1,76,0.0,0,100.0,325
0,2,0,1,77,0.0,0,100.0,329
0,2,0,1,78,0.0,0,100.0,329
0,2,0,1,79,0.0,0,100.0,339
0,2,0,1,80,70.11146144373004,12,0.0,195
0,2,0,1,81,0.0,0,100.0,374
0,2,0,1,82,0.0,0,100.0,329
0,2,0,1,83,79.91414025327582,30,0.0,195
0,2,0,1,84,0.0,0,100.0,329
0,2,0,1,85,0.0,0,30.0,243
0,2,0,1,86,79.91414025327582,30,0.0,195
0,2,0,1,87,0.0,0,60.0,329
0,2,0,1,88,0.0,0,70.0,327
0,2,0,1,89,0.0,0,100.0,329
0,2,0,1,90,84.17294369115328,38,0.0,147
0,2,0,1,91,0.0,0,100.0,329
0,2,0,1,92,0.0,0,60.0,294
0,2,0,1,93,0.0,0,100.0,355
0,2,0,1,94,0.0,0,100.0,325
0,2,0,1,95,0.0,0,100.0,298
0,2,0,1,96,0.0,0,100.0,325
0,2,0,1,97,0.0,0,30.0,163
0,2,0,1,98,0.0,0,60.0,329
0,2,0,1,99,0.0,0,80.0,203
0,2,0,2,0,0.0,0,100.0,189
0,2,0,2,1,0.0,0,100.0,189
0,2,0,2,2,0.0,0,100.0,189
0,2,0,2,3,79.91414025327582,30,0.0,195
0,2,0,2,4,52.49527598775212,2,0.0,260
0,2,0,2,5,0.0,0,100.0,189
0,2,0,2,6,0.0,0,100.0,189
0,2,0,2,7,79.91414025327582,30,0.0,195
0,2,0,2,8,60.58772849975855,30,0.0,733
0,2,0,2,9,79.91414025327582,30,0.0,195
0,2,0,2,10,0.0,0,100.0,189
0,2,0,2,11,60.58772849975855,30,0.0,733
0,2,0,2,12,52.49527598775212,2,0.0,260
0,2,0,2,13,0.0,0,100.0,189
0,2,0,2,14,0.0,0,100.0,189
0,2,0,2,15,83.2905416895859,46,0.0,243
0,2,0,2,16,0.0,0,100.0,189
0,2,0,2,17,52.49527598775212,2,0.0,260
0,2,0,2,18,83.2905416895859,46,0.0,243
0,2,0,2,19,66.8437871872029,10,0.0,245
0,2,0,2,20,79.91414025327582,30,0.0,195
0,2,0,2,21,0.0,0,100.0,189
0,2,0,2,22,79.91414025327582,30,0.0,195
0,2,0,2,23,0.0,0,100.0,189
0,2,0,2,24,79.91414025327582,30,0.0,195
0,2,0,2,25,0.0,0,100.0,189
0,2,0,2,26,0.0,0,100.0,189
0,2,0,2,27,0.0,0,100.0,189
0,2,0,2,28,76.46503830360567,22,0.0,195
0,2,0,2,29,0.0,0,100.0,189
0,2,0,2,30,71.67986479803766,14,0.0,195
0,2,0,2,31,0.0,0,100.0,189
0,2,0,2,32,0.0,0,100.0,189
0,2,0,2,33,52.49527598775212,2,0.0,260
0,2,0,2,34,79.91414025327582,30,0.0,195
0,2,0,2,35,0.0,0,100.0,329
0,2,0,2,36,0.0,0,100.0,329
0,2,0,2,37,0.0,0,60.0,329
0,2,0,2,38,0.0,0,100.0,407
0,2,0,2,39,90.12694452321487,62,0.0,147
0,2,0,2,40,0.0,0,100.0,357
0,2,0,2,41,0.0,0,100.0,719
0,2,0,2,42,0.0,0,60.0,329
0,2,0,2,43,92.98242671270518,88,0.0,195
0,2,0,2,44,0.0,0,80.0,322
0,2,0,2,45,0.0,0,100.0,329
0,2,0,2,46,79.91414025327582,30,0.0,195
0,2,0,2,47,79.91414025327582,30,0.0,195
0,2,0,2,48,0.0,0,100.0,330
0,2,0,2,49,0.0,0,50.0,256
0,2,0,2,50,89.38503170973725,68,0.0,204
0,2,0,2,51,0.0,0,20.0,249
0,2,0,2,52,0.0,0,10.0,407
0,2,0,2,53,86.61614889979455,48,0.0,158
0,2,0,2,54,0.0,0,100.0,360
0,2,0,2,55,0.0,0,100.0,329
0,2,0,2,56,69.10408502767969,14,0.0,280
0,2,0,2,57,0.0,0,100.0,329
0,2,0,2,58,0.0,0,60.0,162
0,2,0,2,59,0.0,0,100.0,329
0,2,0,2,60,0.0,0,60.0,360
0,2,0,2,61,0.0,0,100.0,322
0,2,0,2,62,0.0,0,100.0,325
0,2,0,2,63,0.0,0,100.0,409
0,2,0,2,64,0.0,0,100.0,329
0,2,0,2,65,89.834830294651,64,0.0,168
0,2,0,2,66,0.0,0,50.0,255
0,2,0,2,67,0.0,0,50.0,239
0,2,0,2,68,0.0,0,80.0,322
0,2,0,2,69,0.0,0,20.0,699
0,2,0,2,70,0.0,0,100.0,340
0,2,0,2,71,0.0,0,100.0,326
0,2,0,2,72,0.0,0,100.0,329
0,2,0,2,73,66.64010904984659,8,0.0,177
0,2,0,2,74,0.0,0,50.0,368
0,2,0,2,75,0.0,0,100.0,405
0,2,0,2,76,0.0,0,80.0,329
0,2,0,2,77,0.0,0,60.0,355
0,2,0,2,78,0.0,0,100.0,329
0,2,0,2,79,0.0,0,100.0,360
0,2,0,2,80,79.91414025327582,30,0.0,195
0,2,0,2,81,84.94673569443566,42,0.0,160
0,2,0,2,82,0.0,0,10.0,303
0,2,0,2,83,0.0,0,100.0,360
0,2,0,2,84,68.29714537199311,10,0.0,195
0,2,0,2,85,0.0,0,100.0,322
0,2,0,2,86,0.0,0,90.0,325
0,2,0,2,87,0.0,0,100.0,229
0,2,0,2,88,0.0,0,100.0,329
0,2,0,2,89,0.0,0,100.0,253
0,2,0,2,90,0.0,0,100.0,329
0,2,0,2,91,88.8268442171078,80,0.0,278
0,2,0,2,92,71.72520779228878,16,0.0,239
0,2,0,2,93,0.0,0,100.0,329
0,2,0,2,94,0.0,0,100.0,360
0,2,0,2,95,0.0,0,70.0,168
0,2,0,2,96,0.0,0,80.0,256
0,2,0,2,97,0.0,0,100.0,349
