evo,enemy,individual,round,f,p,e,t
0,8,5,3,0.0,0.0,80.0,449
0,8,5,4,0.0,0.0,80.0,449
0,8,6,0,0.0,0.0,90.0,381
0,8,6,1,0.0,0.0,90.0,381
0,8,6,2,0.0,0.0,90.0,381
0,8,6,3,0.0,0.0,90.0,381
0,8,6,4,0.0,0.0,90.0,381
0,8,7,0,85.06102468271455,74.80000000000024,0.0,357
0,8,7,1,85.06102468271455,74.80000000000024,0.0,357
0,8,7,2,85.06102468271455,74.80000000000024,0.0,357
0,8,7,3,85.06102468271455,74.80000000000024,0.0,357
0,8,7,4,85.06102468271455,74.80000000000024,0.0,357
0,8,8,0,83.48948525963164,74.80000000000024,0.0,398
0,8,8,1,83.48948525963164,74.80000000000024,0.0,398
0,8,8,2,83.48948525963164,74.80000000000024,0.0,398
0,8,8,3,83.48948525963164,74.80000000000024,0.0,398
0,8,8,4,83.48948525963164,74.80000000000024,0.0,398
0,8,9,0,83.77761661831272,76.60000000000022,0.0,398
0,8,9,1,83.77761661831272,76.60000000000022,0.0,398
0,8,9,2,83.77761661831272,76.60000000000022,0.0,398
0,8,9,3,83.77761661831272,76.60000000000022,0.0,398
0,8,9,4,83.77761661831272,76.60000000000022,0.0,398
1,2,0,0,87.84855285332095,74.0,0.0,278
1,2,0,1,87.84855285332095,74.0,0.0,278
1,2,0,2,87.84855285332095,74.0,0.0,278
1,2,0,3,87.84855285332095,74.0,0.0,278
1,2,0,4,87.84855285332095,74.0,0.0,278
1,2,1,0,87.84855285332095,74.0,0.0,278
1,2,1,1,87.84855285332095,74.0,0.0,278
1,2,1,2,87.84855285332095,74.0,0.0,278
1,2,1,3,87.84855285332095,74.0,0.0,278
1,2,1,4,87.84855285332095,74.0,0.0,278
1,2,2,0,0.0,0.0,100.0,326
1,2,2,1,0.0,0.0,100.0,326
1,2,2,2,0.0,0.0,100.0,326
1,2,2,3,0.0,0.0,100.0,326
1,2,2,4,0.0,0.0,100.0,326
1,2,3,0,90.92524115476769,82.0,0.0,228
1,2,3,1,90.92524115476769,82.0,0.0,228
1,2,3,2,90.92524115476769,82.0,0.0,228
1,2,3,3,90.92524115476769,82.0,0.0,228
1,2,3,4,90.92524115476769,82.0,0.0,228
1,2,4,0,92.87698480137234,78.0,0.0,152
1,2,4,1,92.87698480137234,78.0,0.0,152
1,2,4,2,92.87698480137234,78.0,0.0,152
1,2,4,3,92.87698480137234,78.0,0.0,152
1,2,4,4,92.87698480137234,78.0,0.0,152
1,2,5,0,92.57641531783392,76.0,0.0,151
1,2,5,1,92.57641531783392,76.0,0.0,151
1,2,5,2,92.57641531783392,76.0,0.0,151
1,2,5,3,92.57641531783392,76.0,0.0,151
1,2,5,4,92.57641531783392,76.0,0.0,151
1,2,6,0,92.57641531783392,76.0,0.0,151
1,2,6,1,92.57641531783392,76.0,0.0,151
1,2,6,2,92.57641531783392,76.0,0.0,151
1,2,6,3,92.57641531783392,76.0,0.0,151
1,2,6,4,92.57641531783392,76.0,0.0,151
1,2,7,0,95.61467003181819,96.0,0.0,151
1,2,7,1,95.61467003181819,96.0,0.0,151
1,2,7,2,95.61467003181819,96.0,0.0,151
1,2,7,3,95.61467003181819,96.0,0.0,151
1,2,7,4,95.61467003181819,96.0,0.0,151
1,2,8,0,0.0,0.0,70.0,326
1,2,8,1,0.0,0.0,70.0,326
1,2,8,2,0.0,0.0,70.0,326
1,2,8,3,0.0,0.0,70.0,326
1,2,8,4,0.0,0.0,70.0,326
1,2,9,0,89.54741335423435,80.0,0.0,258
1,2,9,1,89.54741335423435,80.0,0.0,258
1,2,9,2,89.54741335423435,80.0,0.0,258
1,2,9,3,89.54741335423435,80.0,0.0,258
1,2,9,4,89.54741335423435,80.0,0.0,258
1,5,0,0,85.57752247102937,59.80000000000033,0.0,268
1,5,0,1,92.21558983099521,81.40000000000018,0.0,188
1,5,0,2,92.76045475362451,83.80000000000015,0.0,183
1,5,0,3,85.57752247102937,59.80000000000033,0.0,268
1,5,0,4,93.9935233338835,86.80000000000013,0.0,160
1,5,1,0,86.88300061647237,83.80000000000015,0.0,346
1,5,1,1,83.68222933310949,76.00000000000023,0.0,398
1,5,1,2,86.88300061647237,83.80000000000015,0.0,346
1,5,1,3,86.18789169772606,79.0000000000002,0.0,345
1,5,1,4,83.45069918424792,74.80000000000024,0.0,399
1,5,2,0,91.4034485808699,82.60000000000016,0.0,217
1,5,2,1,90.63880195834886,77.80000000000021,0.0,217
1,5,2,2,90.64351628861942,82.00000000000017,0.0,236
1,5,2,3,91.2160136372014,81.40000000000018,0.0,217
1,5,2,4,93.05466756422632,89.2000000000001,0.0,198
1,5,3,0,0.0,0.0,90.0,624
1,5,3,1,0.0,0.0,90.0,572
1,5,3,2,0.0,0.0,90.0,520
1,5,3,3,0.0,0.0,90.0,610
1,5,3,4,0.0,0.0,90.0,571
1,5,4,0,81.74467799873602,70.60000000000028,0.0,425
1,5,4,1,81.74467799873602,70.60000000000028,0.0,425
1,5,4,2,81.84540057877558,71.20000000000027,0.0,425
1,5,4,3,82.53064169532479,75.40000000000023,0.0,425
1,5,4,4,82.338290103221,74.20000000000024,0.0,425
1,5,5,0,85.41961501170076,59.20000000000033,0.0,269
1,5,5,1,85.54230726126535,59.80000000000033,0.0,269
1,5,5,2,84.26376514232128,53.80000000000032,0.0,269
1,5,5,3,85.29583439544902,58.60000000000033,0.0,269
1,5,5,4,84.65985261115475,55.60000000000032,0.0,269
1,5,6,0,84.9711735312514,77.80000000000021,0.0,372
1,5,6,1,83.59647610724942,72.40000000000026,0.0,385
1,5,6,2,94.15499313394655,91.60000000000008,0.0,176
1,5,6,3,93.41743820925979,89.8000000000001,0.0,190
1,5,6,4,93.41743820925979,89.8000000000001,0.0,190
1,5,7,0,5.228777476552098,40.600000000000286,90.0,1000
1,5,7,1,5.368439448141208,48.400000000000304,90.0,1000
1,5,7,2,5.284990708445218,43.60000000000029,90.0,1000
1,5,7,3,5.317158820646242,45.4000000000003,90.0,1000
1,5,7,4,5.262912301425714,42.40000000000029,90.0,1000
1,5,8,0,83.4193554740948,77.80000000000021,0.0,412
1,5,8,1,82.94453738373693,74.80000000000024,0.0,412
